name,institution,price($),Number of people purchased
Python数据分析班,逻辑教育,1980.00,144
Python进阶到项目实战,达亚学院,6100.00,100
师傅带徒弟学：Python正则表达式,智捷课堂,19.00,28
国匠学堂：Python数据入门与行业实战应用,国匠城,499.00,28
用Python从零搭建数字货币量化交易系统,麻瓜编程,1200.00,3
【BearSki】自动化测试框架应用与开发培训,深圳奇仪科技有限公司,198.00,6
【云知梦】Python Flask WEB框架开发,云知梦,49.00,15
Python C/C++联合编程实战,夏曹俊,268.00,19
Python人工智能之核心编程(连载),破茧科技学院,19.90,120
TensorFlow玩转机器翻译与聊天机器人,魏俊,188.00,5
跟着王进老师学开发Python篇第三季：Tkinter GUI项目实战篇,联科教育,199.00,24
Python之Tornado开发人脸识别小程序,张金龙,98.00,17
美女讲师教你学Python第一季：基础入门,联科教育,99.00,4
极客营-微信跳一跳python外挂程序开发,极客教育,20.00,6
跟着王进老师学Python：通过案例讲函数,联科教育,29.00,8
Python可视化数据分析之MatplotLib从零到项目演练,北京盛久盈天科技有限公司,799.00,1
师傅带徒弟学：Python图形用户界面编程wxPython,智捷课堂,49.00,30
类Zabbix的主机监控系统开发实战,路飞学城,49.00,16
Python教程-零基础快速入门知识,深圳市川石信息技术有限公司,399.00,0
Python爬虫课程,逻辑教育,1980.00,72
Python从小白到大牛：项目实战2：数据可视化与股票数据分析,智捷课堂,39.00,9
Python与量化投资：从基础到实战（英文版）,课桌角,1000.00,2
Python语法结构+快速入门,誉天教育,1698.00,5
python爬虫与反爬特训营,逻辑教育,39.90,209
Django框架全教程,北京胜蓝博创教育科技有限公司,79.00,2
人工智能机器视觉特训,逻辑教育,68.00,30
Flask快速入门和企业实战案例教程,北京思无限科技有限责任公司,98.00,12
乐飞STEM机器人项目—学习物理学、Python编程和树莓派嵌入式开发,王晓敏,98.00,19
【全民编程】Python全栈课程之Python进阶实战,夏正东,69.00,8
Python邮件发送_搞定网站_立即免费通话,东方琦智,37.11,0
Python开发全系课（全栈+自动化测试/运维+数据分析+人工智能）,北京图灵学院,1000.00,0
Anaconda管理多版本Python,胡松,16.00,5
Python运维自动化,知数堂,4200.00,0
Python金融量化分析,逻辑教育,2880.00,0
青少年编程--python入门,朱文伟,12.00,0
Python自动化办公,逻辑教育,998.00,0
Python进阶编程-Python高性能编程高级/人工智能/快速就业,拼客学院,588.00,0
Python进阶编程-Python高性能编程进阶/人工智能/快速就业,拼客学院,518.00,0
Python进阶编程-Python高性能编程入门/人工智能/快速就业,拼客学院,198.00,0
Python全栈开发培训,优效学院,7980.00,0
Python编程基础-面向函数与对象编程/人工智能/快速就业,拼客学院,98.00,0
python3.7（二部）数据库编程MongoDB/Mysql/redis持续更新,尚文网络IT教育,99.00,1
Python编程基础-Python模块基本使用/人工智能/快速就业,拼客学院,98.00,0
大数据人工智能关键词提取和文本摘要Python机器学习算法,充电了么,,0
Python3爬虫内功心法之正则表达式,陈华编程学院,30.00,1
Python机器学习入门,青灯教育,498.00,0
专业人工智能工程师殿堂之路,智锋互联,6980.00,0
Python全栈核心应用实战|量化投资/AI机器学习/前端PYQT5软件开发,金丝雀教育,399.00,0
Python数据分析项目实战,博学谷,399.00,0
【Scrapy进阶】高速图片爬虫,胡松,19.90,0
所有人都能学的数据分析课,博学谷,2999.00,0
python人工智能TensorFlow,智锋互联,199.00,0
Python基础强化案例,联科教育,283.00,0
python量化交易,智锋互联,599.00,0
python3.7零基础入门到精通（一）持续更新,尚文网络IT教育,25.00,13
python大数据与数据分析,智锋互联,599.00,0
6天学会Python爬虫及可视化开发,知了堂,12.00,8
python数据分析海量数据营销,智锋互联,599.00,0
python Scrapy-redis教程,智锋互联,599.00,0
